CUENTA001  | D |       150,000.02 | ANT: -      200,000.06 | NVO: -      350,000.08
CUENTA001  | C |       500,000.02 | ANT: -      350,000.08 | NVO:        149,999.94
CUENTA001  | D |       150,000.02 | ANT:        149,999.94 | NVO: -            0.08
CUENTA001  | D |       200,000.02 | ANT: -            0.08 | NVO: -      200,000.10
CUENTA001  | D |       200,000.02 | ANT: -      200,000.10 | NVO: -      400,000.12
CUENTA002  | C |       800,000.02 | ANT:        299,999.96 | NVO:      1,099,999.98
CUENTA002  | D |       300,000.02 | ANT:      1,099,999.98 | NVO:        799,999.96
CUENTA002  | D |       100,000.02 | ANT:        799,999.96 | NVO:        699,999.94
CUENTA002  | D |       100,000.02 | ANT:        699,999.94 | NVO:        599,999.92
CUENTA003  | D |   500,000,000.02 | ANT: -  999,100,000.02 | NVO: -1,499,100,000.04
CUENTA003  | C |       900,000.02 | ANT: -1,499,100,000.04 | NVO: -1,498,200,000.02
CUENTA003  | D |   500,000,000.02 | ANT: -1,498,200,000.02 | NVO: -1,998,200,000.04
CUENTA004  | D |       450,000.02 | ANT: -    1,030,000.06 | NVO: -    1,480,000.08
CUENTA004  | D |       300,000.02 | ANT: -    1,480,000.08 | NVO: -    1,780,000.10
CUENTA004  | D |       280,000.02 | ANT: -    1,780,000.10 | NVO: -    2,060,000.12
CUENTA005  | C |       600,000.02 | ANT:        950,000.02 | NVO:      1,550,000.04
CUENTA005  | D |        50,000.02 | ANT:      1,550,000.04 | NVO:      1,500,000.02
CUENTA005  | C |       400,000.02 | ANT:      1,500,000.02 | NVO:      1,900,000.04
CUENTA007  | D |             0.02 | ANT: -            0.02 | NVO: -            0.04
CUENTA008  | C |     1,200,000.02 | ANT:        800,000.00 | NVO:      2,000,000.02
CUENTA008  | D |       800,000.02 | ANT:      2,000,000.02 | NVO:      1,200,000.00
CUENTA008  | C |     1,200,000.02 | ANT:      1,200,000.00 | NVO:      2,400,000.02
CUENTA008  | D |       800,000.02 | ANT:      2,400,000.02 | NVO:      1,600,000.00
CUENTA009  | C |     2,500,000.02 | ANT:              0.00 | NVO:      2,500,000.02
CUENTA009  | D |     2,500,000.02 | ANT:      2,500,000.02 | NVO:              0.00
CUENTA010  | D |       750,000.02 | ANT: -      500,000.02 | NVO: -    1,250,000.04
CUENTA010  | C |     1,000,000.02 | ANT: -    1,250,000.04 | NVO: -      250,000.02
CUENTA010  | D |       750,000.02 | ANT: -      250,000.02 | NVO: -    1,000,000.04
